Unnamed: 0,Location,Year,Month,Day,Latitude,Longitude,Country,Region_HiMAP,Type,Impact,Fatalities,Injured,Livestock,Leisure,Remarks,Reference
155,"Meyandeh (Nusai), Nusai, Badakhshan",2022,1.0,4.0,38.28039501,70.81273485,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
156,"Meyanadeh, Shukai, Badakhshan",2017,2.0,4.0,38.28142,70.81297,Afghanistan,6.0,slab avalanche,Y,0,3.0,0.0,,3 persons injured,AKAH-A
157,"Sari Deh, Nusai, Badakhshan",2019,1.0,17.0,38.44268138,70.81668013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
158,"Sari Deh, Nusai, Badakhshan",2021,2.0,22.0,38.44268138,70.81668013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
159,"Sari Deh, Nusai, Badakhshan",2021,2.0,24.0,38.44268138,70.81668013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
160,"Sari Deh, Nusai, Badakhshan",2022,3.0,8.0,38.44268138,70.81668013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
161,"Sari Deh, Nusai, Badakhshan",2022,3.0,11.0,38.44268138,70.81668013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
162,"Kerawar (Jawaidara), Nusai, Badakhshan",2018,2.0,16.0,38.29129628,70.82110851,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
163,"Kerawar (Jawaidara), Nusai, Badakhshan",2018,2.0,16.0,38.29129628,70.82110851,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
164,"Newar, Nusai, Badakhshan",2020,12.0,27.0,38.31041796,70.83008874,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
165,Shuraki Kapali catchment,2016,8.0,28.0,38.972,70.835,Tajikistan,6.0,glacier detachment,Y,0,0.0,0.0,,"swept away few cattles, destroyed 10 buildings, bridge,  avalanche passes through the villages of Fathobod and Kapali","(Leinss et al., 2021)"
